Monitoring CPU usage of iperf3   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
3094947 sum  26.79 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   5.17 iperf3 -s
3094947   5   5.37 iperf3 -s
3094947   6   1.79 iperf3 -s
3094947   7   0.23 iperf3 -s
3094947  18   1.42 iperf3 -s
3094947  19   1.39 iperf3 -s
3094947  24   1.31 iperf3 -s
3094947  25   3.15 iperf3 -s
3094947  26   5.45 iperf3 -s
3094947  38   1.61 iperf3 -s
3094947  39   0.22 iperf3 -s
3094947 sum  27.11 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   0.21 iperf3 -s
3094947   6   1.32 iperf3 -s
3094947   7   0.12 iperf3 -s
3094947  18   0.00 iperf3 -s
3094947  24   0.06 iperf3 -s
3094947  25   0.03 iperf3 -s
3094947  26  10.49 iperf3 -s
3094947  27   1.14 iperf3 -s
3094947  39  13.56 iperf3 -s
3094947 sum  26.93 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   1.36 iperf3 -s
3094947   5   3.08 iperf3 -s
3094947   6   3.35 iperf3 -s
3094947   7   1.94 iperf3 -s
3094947  18   0.03 iperf3 -s
3094947  19   0.34 iperf3 -s
3094947  25   0.04 iperf3 -s
3094947  26   0.02 iperf3 -s
3094947  27   9.79 iperf3 -s
3094947  38   0.62 iperf3 -s
3094947  39   5.96 iperf3 -s
3094947 sum  26.53 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   5   0.69 iperf3 -s
3094947   6   5.57 iperf3 -s
3094947   7   0.17 iperf3 -s
3094947  18   0.08 iperf3 -s
3094947  19   6.61 iperf3 -s
3094947  27  11.34 iperf3 -s
3094947  38   0.17 iperf3 -s
3094947  39   0.91 iperf3 -s
3094947 sum  25.54 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   6   2.01 iperf3 -s
3094947  18  15.26 iperf3 -s
3094947  19   3.90 iperf3 -s
3094947  25   0.13 iperf3 -s
3094947  27   4.46 iperf3 -s
3094947 sum  25.76 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   3.39 iperf3 -s
3094947   5   1.91 iperf3 -s
3094947   6   0.85 iperf3 -s
3094947   7   9.65 iperf3 -s
3094947  18   0.70 iperf3 -s
3094947  25   0.08 iperf3 -s
3094947  26   4.84 iperf3 -s
3094947  27   1.68 iperf3 -s
3094947  38   2.48 iperf3 -s
3094947  39   0.09 iperf3 -s
3094947 sum  25.67 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   5   5.39 iperf3 -s
3094947   7   8.80 iperf3 -s
3094947  18   0.72 iperf3 -s
3094947  19   0.56 iperf3 -s
3094947  24   0.15 iperf3 -s
3094947  25   5.80 iperf3 -s
3094947  26   2.88 iperf3 -s
3094947  38   0.97 iperf3 -s
3094947  39   0.76 iperf3 -s
3094947 sum  26.03 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   0.26 iperf3 -s
3094947   6   2.57 iperf3 -s
3094947   7   4.27 iperf3 -s
3094947  25   4.09 iperf3 -s
3094947  26   9.09 iperf3 -s
3094947  27   1.65 iperf3 -s
3094947  38   3.79 iperf3 -s
3094947 sum  25.72 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   0.01 iperf3 -s
3094947   5   5.85 iperf3 -s
3094947   6   0.52 iperf3 -s
3094947  18   1.12 iperf3 -s
3094947  19  15.48 iperf3 -s
3094947  24   0.26 iperf3 -s
3094947  25   1.83 iperf3 -s
3094947  26   0.59 iperf3 -s
3094947  27   0.19 iperf3 -s
3094947  39   0.34 iperf3 -s
3094947 sum  26.19 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   0.42 iperf3 -s
3094947   5   1.96 iperf3 -s
3094947   6   1.11 iperf3 -s
3094947   7   4.06 iperf3 -s
3094947  18   6.66 iperf3 -s
3094947  24   7.57 iperf3 -s
3094947  25   0.04 iperf3 -s
3094947  27   2.48 iperf3 -s
3094947  38   1.33 iperf3 -s
3094947 sum  25.63 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   0.09 iperf3 -s
3094947   5   0.75 iperf3 -s
3094947   6   0.18 iperf3 -s
3094947   7   2.02 iperf3 -s
3094947  18  14.24 iperf3 -s
3094947  19   1.98 iperf3 -s
3094947  24   2.13 iperf3 -s
3094947  25   0.58 iperf3 -s
3094947  26   1.21 iperf3 -s
3094947  38   2.10 iperf3 -s
3094947  39   0.37 iperf3 -s
3094947 sum  25.65 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   7.67 iperf3 -s
3094947   5   0.04 iperf3 -s
3094947   6   8.49 iperf3 -s
3094947   7   0.16 iperf3 -s
