Monitoring CPU usage of iperf3   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
900952  26   0.16 iperf3 -s
900952  38   2.29 iperf3 -s
900952  39  10.26 iperf3 -s
900952 sum  29.36 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   0.63 iperf3 -s
900952   5   0.06 iperf3 -s
900952   6   3.57 iperf3 -s
900952   7   0.14 iperf3 -s
900952  19   5.61 iperf3 -s
900952  24   3.57 iperf3 -s
900952  25  10.83 iperf3 -s
900952  26   3.27 iperf3 -s
900952  39   0.27 iperf3 -s
900952 sum  27.95 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   0.95 iperf3 -s
900952   5   1.33 iperf3 -s
900952   6   0.48 iperf3 -s
900952   7   3.63 iperf3 -s
900952  18   0.39 iperf3 -s
900952  19   4.71 iperf3 -s
900952  24   1.06 iperf3 -s
900952  25   2.86 iperf3 -s
900952  26   8.18 iperf3 -s
900952  27   1.27 iperf3 -s
900952  38   1.39 iperf3 -s
900952  39   0.64 iperf3 -s
900952 sum  26.89 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   0.24 iperf3 -s
900952   5   4.11 iperf3 -s
900952   6  15.00 iperf3 -s
900952   7   0.11 iperf3 -s
900952  18   1.08 iperf3 -s
900952  19   5.31 iperf3 -s
900952  25   0.09 iperf3 -s
900952  27   0.38 iperf3 -s
900952  38   0.93 iperf3 -s
900952  39   5.44 iperf3 -s
900952 sum  32.69 iperf3 -s
   PID CPU    PCT CMDLINE
900952  19   4.23 iperf3 -s
900952  26  20.42 iperf3 -s
900952  27   1.29 iperf3 -s
900952 sum  25.94 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   2.07 iperf3 -s
900952   5   0.48 iperf3 -s
900952   6   3.37 iperf3 -s
900952   7   0.36 iperf3 -s
900952  18   0.84 iperf3 -s
900952  19   1.69 iperf3 -s
900952  24   1.68 iperf3 -s
900952  25  12.33 iperf3 -s
900952  26   0.33 iperf3 -s
900952  27   3.01 iperf3 -s
900952  38   1.84 iperf3 -s
900952  39   0.26 iperf3 -s
900952 sum  28.26 iperf3 -s
   PID CPU    PCT CMDLINE
900952   6   0.02 iperf3 -s
900952   7   0.17 iperf3 -s
900952  18   0.01 iperf3 -s
900952  19   1.05 iperf3 -s
900952  24   6.84 iperf3 -s
900952  25  15.87 iperf3 -s
900952  26   0.04 iperf3 -s
900952  27   1.64 iperf3 -s
900952  38   0.85 iperf3 -s
900952 sum  26.49 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   0.17 iperf3 -s
900952   5   0.69 iperf3 -s
900952   6   1.21 iperf3 -s
900952   7   4.59 iperf3 -s
900952  19   1.71 iperf3 -s
900952  24   8.20 iperf3 -s
900952  25   2.37 iperf3 -s
900952  26   2.71 iperf3 -s
900952  27   1.38 iperf3 -s
900952  38   0.66 iperf3 -s
900952  39   3.32 iperf3 -s
900952 sum  27.01 iperf3 -s
   PID CPU    PCT CMDLINE
900952   7   3.06 iperf3 -s
900952  18   0.01 iperf3 -s
900952  26  22.58 iperf3 -s
900952 sum  25.65 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   0.64 iperf3 -s
900952   5   4.15 iperf3 -s
900952   6   0.62 iperf3 -s
900952   7   0.09 iperf3 -s
900952  18   4.04 iperf3 -s
900952  19   1.24 iperf3 -s
900952  24   1.35 iperf3 -s
900952  25   0.17 iperf3 -s
900952  26   2.44 iperf3 -s
900952  27   2.34 iperf3 -s
900952  38   2.36 iperf3 -s
900952  39   7.67 iperf3 -s
900952 sum  27.11 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   0.03 iperf3 -s
900952   5   0.91 iperf3 -s
900952   7   2.23 iperf3 -s
900952  19   0.10 iperf3 -s
900952  24   9.70 iperf3 -s
900952  25   0.21 iperf3 -s
900952  26   9.58 iperf3 -s
900952  27   0.10 iperf3 -s
900952  39   3.28 iperf3 -s
900952 sum  26.14 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   0.03 iperf3 -s
900952   5   1.80 iperf3 -s
900952   6   9.69 iperf3 -s
900952   7   0.38 iperf3 -s
900952  18   0.45 iperf3 -s
900952  19   6.03 iperf3 -s
900952  24   1.70 iperf3 -s
900952  25   0.78 iperf3 -s
900952  26   7.70 iperf3 -s
900952  27   1.98 iperf3 -s
900952  38   0.20 iperf3 -s
900952 sum  30.74 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   3.17 iperf3 -s
900952   5   2.26 iperf3 -s
900952  26   7.54 iperf3 -s
900952  27   0.53 iperf3 -s
900952  38   8.38 iperf3 -s
900952  39   4.74 iperf3 -s
900952 sum  26.62 iperf3 -s
   PID CPU    PCT CMDLINE
900952   5   2.03 iperf3 -s
900952   6   2.87 iperf3 -s
900952  18   0.61 iperf3 -s
900952  24   0.28 iperf3 -s
900952  26  13.38 iperf3 -s
900952  27   6.65 iperf3 -s
900952  38   0.90 iperf3 -s
900952  39   0.37 iperf3 -s
900952 sum  27.09 iperf3 -s
   PID CPU    PCT CMDLINE
900952   6   0.53 iperf3 -s
900952   7   0.41 iperf3 -s
900952  18   0.50 iperf3 -s
900952  24   3.05 iperf3 -s
900952  26  18.50 iperf3 -s
900952  39   3.03 iperf3 -s
900952 sum  26.02 iperf3 -s
   PID CPU    PCT CMDLINE
900952   5   0.01 iperf3 -s
900952  19   0.06 iperf3 -s
900952  24   0.96 iperf3 -s
900952  25   2.74 iperf3 -s
900952  26  18.10 iperf3 -s
900952  27   4.15 iperf3 -s
900952 sum  26.02 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   1.47 iperf3 -s
900952   5   3.14 iperf3 -s
900952  27  10.57 iperf3 -s
900952  38   1.16 iperf3 -s
900952  39  10.09 iperf3 -s
900952 sum  26.43 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   8.41 iperf3 -s
900952   5   2.53 iperf3 -s
900952   6   0.03 iperf3 -s
900952   7   0.99 iperf3 -s
900952  18   1.37 iperf3 -s
900952  19   1.01 iperf3 -s
900952  24   0.32 iperf3 -s
900952  38   2.74 iperf3 -s
900952  39   9.12 iperf3 -s
900952 sum  26.52 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   4.33 iperf3 -s
900952   5  22.08 iperf3 -s
900952 sum  26.41 iperf3 -s
   PID CPU    PCT CMDLINE
900952   5   2.20 iperf3 -s
900952   6   0.68 iperf3 -s
900952  18   1.74 iperf3 -s
900952  25   0.05 iperf3 -s
900952  26   1.58 iperf3 -s
900952  27   4.09 iperf3 -s
900952  38   4.16 iperf3 -s
900952  39  12.16 iperf3 -s
900952 sum  26.66 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   2.08 iperf3 -s
900952   5   0.43 iperf3 -s
900952  18   0.19 iperf3 -s
900952  19   6.78 iperf3 -s
900952  24   7.42 iperf3 -s
900952  25   2.54 iperf3 -s
900952  26   0.01 iperf3 -s
900952  38   1.07 iperf3 -s
900952  39   6.09 iperf3 -s
900952 sum  26.61 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   0.71 iperf3 -s
900952   5   1.84 iperf3 -s
900952   6   0.02 iperf3 -s
900952   7   0.54 iperf3 -s
900952  18   0.19 iperf3 -s
900952  19  10.97 iperf3 -s
900952  24   2.06 iperf3 -s
900952  25   0.23 iperf3 -s
900952  26   3.02 iperf3 -s
900952  27   0.09 iperf3 -s
